   #time(sec)              deltag(m/s^2)
   0.0000000e+00   0.0000000e+00
   6.0000000e+01   8.2856868e-11
   1.2000000e+02   1.6592937e-10
   1.8000000e+02   2.4808892e-10
   2.4000000e+02   3.2816624e-10
   3.0000000e+02   4.0497048e-10
   3.6000000e+02   4.7730381e-10
   4.2000000e+02   5.4399700e-10
   4.8000000e+02   6.0392158e-10
   5.4000000e+02   6.5603051e-10
   6.0000000e+02   6.9938671e-10
   6.6000000e+02   7.3318652e-10
   7.2000000e+02   7.5679377e-10
   7.8000000e+02   7.6975761e-10
   8.4000000e+02   7.7183178e-10
   9.0000000e+02   7.6298289e-10
   9.6000000e+02   7.4339128e-10
   1.0200000e+03   7.1344370e-10
   1.0800000e+03   6.7372115e-10
   1.1400000e+03   6.2497299e-10
   1.2000000e+03   5.6809528e-10
   1.2600000e+03   5.0410027e-10
   1.3200000e+03   4.3408438e-10
   1.3800000e+03   3.5920402e-10
   1.4400000e+03   2.8064284e-10
   1.5000000e+03   1.9959077e-10
   1.5600000e+03   1.1722058e-10
   1.6200000e+03   3.4667652e-11
   1.6800000e+03  -4.6978109e-11
   1.7400000e+03  -1.2669225e-10
   1.8000000e+03  -2.0351585e-10
   1.8600000e+03  -2.7656807e-10
   1.9200000e+03  -3.4505149e-10
   1.9800000e+03  -4.0824340e-10
   2.0400000e+03  -4.6551102e-10
   2.1000000e+03  -5.1630180e-10
   2.1600000e+03  -5.6014301e-10
   2.2200000e+03  -5.9664448e-10
   2.2800000e+03  -6.2548885e-10
   2.3400000e+03  -6.4643761e-10
   2.4000000e+03  -6.5932198e-10
   2.4600000e+03  -6.6404452e-10
   2.5200000e+03  -6.6057732e-10
   2.5800000e+03  -6.4896143e-10
   2.6400000e+03  -6.2930612e-10
   2.7000000e+03  -6.0179301e-10
   2.7600000e+03  -5.6667138e-10
   2.8200000e+03  -5.2426847e-10
   2.8800000e+03  -4.7498332e-10
   2.9400000e+03  -4.1929592e-10
   3.0000000e+03  -3.5776446e-10
   3.0600000e+03  -2.9102732e-10
   3.1200000e+03  -2.1980309e-10
   3.1800000e+03  -1.4489339e-10
   3.2400000e+03  -6.7170514e-11
   3.3000000e+03   1.2413530e-11
   3.3600000e+03   9.2848111e-11
   3.4200000e+03   1.7306346e-10
   3.4800000e+03   2.5195362e-10
   3.5400000e+03   3.2837941e-10
   3.6000000e+03   4.0119569e-10
   3.6600000e+03   4.6927281e-10
   3.7200000e+03   5.3151870e-10
   3.7800000e+03   5.8690359e-10
   3.8400000e+03   6.3449154e-10
   3.9000000e+03   6.7346214e-10
   3.9600000e+03   7.0313765e-10
   4.0200000e+03   7.2300256e-10
   4.0800000e+03   7.3271977e-10
   4.1400000e+03   7.3214300e-10
   4.2000000e+03   7.2131795e-10
   4.2600000e+03   7.0048169e-10
   4.3200000e+03   6.7005163e-10
   4.3800000e+03   6.3061391e-10
   4.4400000e+03   5.8289780e-10
   4.5000000e+03   5.2776084e-10
   4.5600000e+03   4.6615934e-10
   4.6200000e+03   3.9912368e-10
   4.6800000e+03   3.2773135e-10
   4.7400000e+03   2.5309085e-10
   4.8000000e+03   1.7630909e-10
   4.8600000e+03   9.8485902e-11
   4.9200000e+03   2.0681638e-11
   4.9800000e+03  -5.6082458e-11
   5.0400000e+03  -1.3084546e-10
   5.1000000e+03  -2.0270564e-10
   5.1600000e+03  -2.7084053e-10
   5.2200000e+03  -3.3449966e-10
   5.2800000e+03  -3.9301139e-10
   5.3400000e+03  -4.4578560e-10
   5.4000000e+03  -4.9231075e-10
   5.4600000e+03  -5.3215581e-10
   5.5200000e+03  -5.6496879e-10
   5.5800000e+03  -5.9046986e-10
   5.6400000e+03  -6.0845469e-10
   5.7000000e+03  -6.1878840e-10
   5.7600000e+03  -6.2140705e-10
   5.8200000e+03  -6.1631421e-10
   5.8800000e+03  -6.0358128e-10
   5.9400000e+03  -5.8334856e-10
   6.0000000e+03  -5.5582355e-10
   6.0600000e+03  -5.2128619e-10
   6.1200000e+03  -4.8008712e-10
   6.1800000e+03  -4.3265129e-10
   6.2400000e+03  -3.7947709e-10
   6.3000000e+03  -3.2114098e-10
   6.3600000e+03  -2.5829506e-10
   6.4200000e+03  -1.9165992e-10
   6.4800000e+03  -1.2203671e-10
   6.5400000e+03  -5.0281191e-11
   6.6000000e+03   2.2684273e-11
   6.6600000e+03   9.5895326e-11
   6.7200000e+03   1.6834888e-10
   6.7800000e+03   2.3902762e-10
   6.8400000e+03   3.0690426e-10
   6.9000000e+03   3.7097395e-10
   6.9600000e+03   4.3027060e-10
   7.0200000e+03   4.8388175e-10
   7.0800000e+03   5.3097781e-10
   7.1400000e+03   5.7083018e-10
   7.2000000e+03   6.0282209e-10
   7.2600000e+03   6.2647238e-10
   7.3200000e+03   6.4143804e-10
   7.3800000e+03   6.4752642e-10
   7.4400000e+03   6.4469527e-10
   7.5000000e+03   6.3305246e-10
   7.5600000e+03   6.1285047e-10
   7.6200000e+03   5.8447922e-10
   7.6800000e+03   5.4845399e-10
   7.7400000e+03   5.0540200e-10
   7.8000000e+03   4.5604727e-10
   7.8600000e+03   4.0119853e-10
   7.9200000e+03   3.4172117e-10
   7.9800000e+03   2.7853522e-10
   8.0400000e+03   2.1258328e-10
   8.1000000e+03   1.4482281e-10
   8.1600000e+03   7.6208902e-11
   8.2200000e+03   7.6723244e-12
   8.2800000e+03  -5.9884693e-11
   8.3400000e+03  -1.2560003e-10
   8.4000000e+03  -1.8867019e-10
   8.4600000e+03  -2.4835243e-10
   8.5200000e+03  -3.0396766e-10
   8.5800000e+03  -3.5491085e-10
   8.6400000e+03  -4.0065012e-10
   8.7000000e+03  -4.4072676e-10
   8.7600000e+03  -4.7475865e-10
   8.8200000e+03  -5.0243581e-10
   8.8800000e+03  -5.2352092e-10
   8.9400000e+03  -5.3784627e-10
   9.0000000e+03  -5.4531355e-10
   9.0600000e+03  -5.4589091e-10
   9.1200000e+03  -5.3961333e-10
   9.1800000e+03  -5.2658173e-10
   9.2400000e+03  -5.0696208e-10
   9.3000000e+03  -4.8098753e-10
   9.3600000e+03  -4.4895815e-10
   9.4200000e+03  -4.1124392e-10
   9.4800000e+03  -3.6828078e-10
   9.5400000e+03  -3.2057485e-10
   9.6000000e+03  -2.6870245e-10
   9.6600000e+03  -2.1329964e-10
   9.7200000e+03  -1.5506997e-10
   9.7800000e+03  -9.4765544e-11
   9.8400000e+03  -3.3187106e-11
   9.9000000e+03   2.8828016e-11
   9.9600000e+03   9.0423807e-11
   1.0020000e+04   1.5073403e-10
