#   frequency            amplitude spectral density
   7.5971618e-05   1.5953522e-04
   1.5194324e-04   1.5953429e-04
   2.2791485e-04   1.5953275e-04
   3.0388647e-04   1.5953060e-04
   3.7985809e-04   1.5952783e-04
   4.5582971e-04   1.5952445e-04
   5.3180133e-04   1.5952044e-04
   6.0777294e-04   1.5951583e-04
   6.8374456e-04   1.5951059e-04
   7.5971618e-04   1.5950474e-04
   8.3568780e-04   1.5949827e-04
   9.1165942e-04   1.5949118e-04
   9.8763103e-04   1.5948347e-04
   1.0636027e-03   1.5947515e-04
   1.1395743e-03   1.5946620e-04
   1.2155459e-03   1.5945663e-04
   1.2915175e-03   1.5944644e-04
   1.3674891e-03   1.5943563e-04
   1.4434607e-03   1.5942420e-04
   1.5194324e-03   1.5941214e-04
   1.5954040e-03   1.5939946e-04
   1.6713756e-03   1.5938615e-04
   1.7473472e-03   1.5937222e-04
   1.8233188e-03   1.5935765e-04
   1.8992905e-03   1.5934246e-04
   1.9752621e-03   1.5932664e-04
   2.0512337e-03   1.5931019e-04
   2.1272053e-03   1.5929310e-04
   2.2031769e-03   1.5927538e-04
   2.2791485e-03   1.5925703e-04
   2.3551202e-03   1.5923803e-04
   2.4310918e-03   1.5921840e-04
   2.5070634e-03   1.5919813e-04
   2.5830350e-03   1.5917722e-04
   2.6590066e-03   1.5915567e-04
   2.7349783e-03   1.5913347e-04
   2.8109499e-03   1.5911062e-04
   2.8869215e-03   1.5908713e-04
   2.9628931e-03   1.5906299e-04
   3.0388647e-03   1.5903819e-04
   3.1148363e-03   1.5901275e-04
   3.1908080e-03   1.5898664e-04
   3.2667796e-03   1.5895988e-04
   3.3427512e-03   1.5893246e-04
   3.4187228e-03   1.5890438e-04
   3.4946944e-03   1.5887564e-04
   3.5706660e-03   1.5884623e-04
   3.6466377e-03   1.5881615e-04
   3.7226093e-03   1.5878540e-04
   3.7985809e-03   1.5875398e-04
   3.8745525e-03   1.5872188e-04
   3.9505241e-03   1.5868911e-04
   4.0264958e-03   1.5865566e-04
   4.1024674e-03   1.5862152e-04
   4.1784390e-03   1.5858670e-04
   4.2544106e-03   1.5855119e-04
   4.3303822e-03   1.5851499e-04
   4.4063538e-03   1.5847810e-04
   4.4823255e-03   1.5844052e-04
   4.5582971e-03   1.5840223e-04
   4.6342687e-03   1.5836325e-04
   4.7102403e-03   1.5832356e-04
   4.7862119e-03   1.5828316e-04
   4.8621836e-03   1.5824205e-04
   4.9381552e-03   1.5820023e-04
   5.0141268e-03   1.5815770e-04
   5.0900984e-03   1.5811444e-04
   5.1660700e-03   1.5807047e-04
   5.2420416e-03   1.5802577e-04
   5.3180133e-03   1.5798033e-04
   5.3939849e-03   1.5793417e-04
   5.4699565e-03   1.5788727e-04
   5.5459281e-03   1.5783964e-04
   5.6218997e-03   1.5779126e-04
   5.6978714e-03   1.5774214e-04
   5.7738430e-03   1.5769227e-04
   5.8498146e-03   1.5764164e-04
   5.9257862e-03   1.5759026e-04
   6.0017578e-03   1.5753813e-04
   6.0777294e-03   1.5748522e-04
   6.1537011e-03   1.5743156e-04
   6.2296727e-03   1.5737712e-04
   6.3056443e-03   1.5732191e-04
   6.3816159e-03   1.5726592e-04
